Txirrindulari Sailkapena,,,,
Posizioa,Zbkia,Txirrindularia,Zenbatek,Puntuak
1,1601,POGAČAR Tadej,39,1300
2,2702,PIDCOCK Thomas,39,1040
3,0101,VAN DER POEL Mathieu,39,1000
4,1501,VAN AERT Wout,38,605
5,1615,VERMEERSCH Florian,5,548
6,0702,PEDERSEN Mads,32,520
7,0318,SEIXAS Paul,19,400
8,3401,GROENEWEGEN Dylan,0,400
9,0309,ANDRESEN Tobias Lund,1,365
10,1007,STRONG Corbin,0,360
11,1504,LAPORTE Christophe,24,340
12,1112,VERMEERSCH Gianni,8,325
13,1612,DEL TORO Isaac,31,325
14,0102,PHILIPSEN Jasper,37,320
15,1122,VAN DIJKE Tim,0,320
16,1520,HAGENES Per Strand,0,320
17,1306,VENDRAME Andrea,0,280
18,0505,GRÉGOIRE Romain,6,275
19,1813,KANTER Max,0,260
20,3302,TRENTIN Matteo,2,256
21,1202,STUYVEN Jasper,29,240
22,0310,DEWULF Stan,0,220
23,2207,ANIOŁKOWSKI Stanisław,0,220
24,1619,CHRISTEN Jan,11,205
25,1710,ABRAHAMSEN Jonas,1,180
26,2711,DE GENDT Aimé,0,180
27,3306,MOZZATO Luca,0,180
28,1702,JOHANNESSEN Tobias Halland,0,170
29,0809,BERCKMOES Jenno,0,150
30,0413,LAMPERTI Luke,0,148
31,1101,ROGLIČ Primož,1,140
32,1407,BITTNER Pavel,2,140
33,0210,ZAMBANINI Edoardo,0,135
34,1507,JORGENSON Matteo,21,125
35,0905,GARCÍA CORTINA Iván,0,120
36,1108,MEEUS Jordi,14,120
37,1118,PELLIZZARI Giulio,0,120
38,0910,UIJTDEBROEKS Cian,0,100
39,1221,REX Laurenz,1,100
40,1708,KRON Andreas,0,100
41,3201,TURGIS Anthony,0,100
42,0403,VALGREN Michael,0,98
43,2205,ARANBURU Alex,2,95
44,0411,CEPEDA Jefferson Alexander,0,80
45,2213,RENARD Alexis,1,80
46,0323,LABROSSE Jordan,0,70
47,2108,BERWICK Sebastian,0,70
48,0814,DE SCHUYTENEER Steffen,0,68
49,1802,TEUNISSEN Mike,2,65
50,0405,HEALY Ben,37,60
51,1807,FORTUNATO Lorenzo,0,60
52,0508,PENHOËT Paul,0,56
53,0612,SHEFFIELD Magnus,2,56
54,1211,MAGNIER Paul,30,56
55,0203,MOHORIČ Matej,8,55
56,2505,FANCELLU Alessandro,0,50
57,0727,TEUTENBERG Tim Torn,0,48
58,3411,KOPECKÝ Matyáš,0,48
59,0225,ERŽEN Žak,0,40
60,0312,LAPEIRA Paul,3,40
61,1115,PITHIE Laurence,2,40
62,3305,STORER Michael,0,40
63,1213,VANSEVENANT Mauri,0,35
64,1610,POLITT Nils,1,32
65,1620,MORGADO António,1,32
66,1703,WÆRENSKJOLD Søren,4,32
67,0517,GRUEL Thibaud,0,28
68,3402,POELS Wout,0,20
69,0427,BELOKI Markel,0,10
70,1618,VERMAERKE Kevin,0,10
71,1801,ULISSI Diego,0,10
