Posizioa,Zbkia,Porralaria,Gaur,Guztira,Eboluzioa
1,2,Keops,2060,2736,14
2,17,McNulty,2045,2721,15
3,16,Filotex,2045,2621,26
4,8,Sor Presa,1820,2616,0
5,28,SinGanna 2,1795,2591,2
6,30,SinGanna 1,1970,2546,24
7,13,La Diva,1545,2481,-6
8,29,ConGanna 1,1695,2371,14
9,4,Altza Felipa,1520,2348,-7
10,14,Formolinho,1545,2341,-4
11,23,zaja,1645,2321,8
12,15,Andoni Giocatolli,1820,2316,22
13,18,Healismo,1820,2276,24
14,39,Alper,1470,2266,-5
15,3,Damba,1560,2236,1
16,19,Posta,1520,2196,2
17,31,Kokotxas taldea,1395,2191,-9
18,20,Giani Bugno,1470,2158,-4
19,36,Gaizkasares,1695,2151,20
20,38,Alper II,1545,2121,12
21,7,Segur Waves,1645,2101,15
22,32,Penny Lane,1520,2056,11
23,1,Piscinas,1370,2030,2
24,33,Michele Bartoli,1570,2026,14
25,5,Altza Felipe,1210,2006,-22
26,26,Presape,1245,2005,-15
27,22,Sabin Sagan,1245,1985,-15
28,24,Jak,1245,1921,-8
29,35,Mauricio Frondiest,1245,1921,-6
30,37,Lasa,1245,1921,-6
31,21,Kas Naranja,1120,1900,-21
32,27,Plazako adokine,1245,1865,-4
33,25,Leñas Eriz,1120,1796,-12
34,11,El Divo,960,1756,-29
35,34,Van Petegen,1060,1636,-4
36,6,Fernando Alonso,1120,1576,-1
37,9,Baketxe 1,920,1540,-11
38,10,Baketxe 2,795,1523,-25
39,12,Juan Alberto,735,1355,-12
