Txirrindulari Sailkapena,,,,
Posizioa,Zbkia,Txirrindularia,Zenbatek,Puntuak
1,1601,POGAČAR Tadej,39,500
2,0101,VAN DER POEL Mathieu,39,400
3,0318,SEIXAS Paul,19,400
4,1612,DEL TORO Isaac,31,325
5,1122,VAN DIJKE Tim,0,320
6,0505,GRÉGOIRE Romain,6,275
7,1615,VERMEERSCH Florian,5,260
8,1112,VERMEERSCH Gianni,8,225
9,1504,LAPORTE Christophe,24,220
10,2711,DE GENDT Aimé,0,180
11,1619,CHRISTEN Jan,11,175
12,2702,PIDCOCK Thomas,39,150
13,0309,ANDRESEN Tobias Lund,1,140
14,1507,JORGENSON Matteo,21,125
15,1108,MEEUS Jordi,14,120
16,1708,KRON Andreas,0,100
17,3201,TURGIS Anthony,0,100
18,1501,VAN AERT Wout,38,85
19,2213,RENARD Alexis,1,80
20,0323,LABROSSE Jordan,0,70
21,0413,LAMPERTI Luke,0,68
22,0405,HEALY Ben,37,60
23,1211,MAGNIER Paul,30,56
24,0403,VALGREN Michael,0,50
25,3411,KOPECKÝ Matyáš,0,48
26,0312,LAPEIRA Paul,3,40
27,1115,PITHIE Laurence,2,40
28,1213,VANSEVENANT Mauri,0,35
29,1610,POLITT Nils,1,32
30,3302,TRENTIN Matteo,2,28
