Posizioa,Zbkia,Porralaria,Gaur,Guztira,Eboluzioa
1,17,McNulty,280,3001,1
2,2,Keops,250,2986,-1
3,16,Filotex,280,2901,0
4,8,Sor Presa,280,2896,0
5,28,SinGanna 2,250,2841,0
6,30,SinGanna 1,280,2826,0
7,13,La Diva,250,2731,0
8,29,ConGanna 1,280,2651,0
9,4,Altza Felipa,250,2598,0
10,15,Andoni Giocatolli,280,2596,2
11,14,Formolinho,250,2591,-1
12,23,zaja,250,2571,-1
13,18,Healismo,280,2556,0
14,39,Alper,250,2516,0
15,3,Damba,250,2486,0
16,19,Posta,250,2446,0
17,31,Kokotxas taldea,250,2441,0
18,36,Gaizkasares,280,2431,1
19,20,Giani Bugno,250,2408,-1
20,38,Alper II,250,2371,0
21,7,Segur Waves,250,2351,0
22,1,Piscinas,280,2310,1
23,32,Penny Lane,250,2306,-1
24,33,Michele Bartoli,280,2306,0
25,5,Altza Felipe,280,2286,0
26,26,Presape,250,2255,0
27,22,Sabin Sagan,250,2235,0
28,24,Jak,250,2171,0
29,35,Mauricio Frondiest,250,2171,0
30,37,Lasa,250,2171,0
31,21,Kas Naranja,250,2150,0
32,27,Plazako adokine,250,2115,0
33,25,Leñas Eriz,250,2046,0
34,11,El Divo,250,2006,0
35,34,Van Petegen,250,1886,0
36,6,Fernando Alonso,250,1826,0
37,9,Baketxe 1,250,1790,0
38,10,Baketxe 2,250,1773,0
39,12,Juan Alberto,390,1745,0
