Txirrindulari Sailkapena,,,,
Posizioa,Zbkia,Txirrindularia,Zenbatek,Puntuak
1,1601,POGAČAR Tadej,39,2100
2,0101,VAN DER POEL Mathieu,39,1640
3,1501,VAN AERT Wout,38,1365
4,2702,PIDCOCK Thomas,39,1040
5,0702,PEDERSEN Mads,32,948
6,1504,LAPORTE Christophe,24,945
7,0102,PHILIPSEN Jasper,37,920
8,1615,VERMEERSCH Florian,5,788
9,0309,ANDRESEN Tobias Lund,1,765
10,1202,STUYVEN Jasper,29,605
11,1102,EVENEPOEL Remco,39,520
12,1112,VERMEERSCH Gianni,8,460
13,3302,TRENTIN Matteo,2,431
14,1122,VAN DIJKE Tim,0,430
15,0318,SEIXAS Paul,19,400
16,0603,GANNA Filippo,28,400
17,2711,DE GENDT Aimé,0,400
18,3401,GROENEWEGEN Dylan,0,400
19,1007,STRONG Corbin,0,360
20,3306,MOZZATO Luca,0,330
21,1612,DEL TORO Isaac,31,325
22,1520,HAGENES Per Strand,0,320
23,1703,WÆRENSKJOLD Søren,4,292
24,1115,PITHIE Laurence,2,285
25,1306,VENDRAME Andrea,0,280
26,1710,ABRAHAMSEN Jonas,1,280
27,0505,GRÉGOIRE Romain,6,275
28,0801,DE LIE Arnaud,34,275
29,1813,KANTER Max,0,260
30,0203,MOHORIČ Matej,8,255
31,1323,DONALDSON Robert,0,225
32,0310,DEWULF Stan,0,220
33,0809,BERCKMOES Jenno,0,220
34,1004,GIRMAY Biniam,29,220
35,2207,ANIOŁKOWSKI Stanisław,0,220
36,1619,CHRISTEN Jan,11,205
37,1702,JOHANNESSEN Tobias Halland,0,170
38,3201,TURGIS Anthony,0,150
39,0413,LAMPERTI Luke,0,148
40,0907,AULAR Orluis,0,140
41,1101,ROGLIČ Primož,1,140
42,1407,BITTNER Pavel,2,140
43,0210,ZAMBANINI Edoardo,0,135
44,1507,JORGENSON Matteo,21,125
45,0905,GARCÍA CORTINA Iván,0,120
46,1108,MEEUS Jordi,14,120
47,1118,PELLIZZARI Giulio,0,120
48,0910,UIJTDEBROEKS Cian,0,100
49,1221,REX Laurenz,1,100
50,1708,KRON Andreas,0,100
51,0403,VALGREN Michael,0,98
52,2205,ARANBURU Alex,2,95
53,0302,NAESEN Oliver,1,85
54,0411,CEPEDA Jefferson Alexander,0,80
55,0812,BRAET Vito,0,80
56,2213,RENARD Alexis,1,80
57,0323,LABROSSE Jordan,0,70
58,2108,BERWICK Sebastian,0,70
59,0814,DE SCHUYTENEER Steffen,0,68
60,1802,TEUNISSEN Mike,2,65
61,0405,HEALY Ben,37,60
62,0524,HUENS Axel,0,60
63,1807,FORTUNATO Lorenzo,0,60
64,0508,PENHOËT Paul,0,56
65,0612,SHEFFIELD Magnus,2,56
66,0920,BARRENETXEA Jon,0,56
67,1211,MAGNIER Paul,30,56
68,0212,SEGAERT Alec,0,55
69,2505,FANCELLU Alessandro,0,50
70,0727,TEUTENBERG Tim Torn,0,48
71,3406,KUBIŠ Lukáš,3,48
72,3411,KOPECKÝ Matyáš,0,48
73,0225,ERŽEN Žak,0,40
74,0312,LAPEIRA Paul,3,40
75,1401,DEGENKOLB John,1,40
76,2215,PAGE Hugo,0,40
77,3305,STORER Michael,0,40
78,1213,VANSEVENANT Mauri,0,35
79,1806,BALLERINI Davide,1,35
80,1610,POLITT Nils,1,32
81,1620,MORGADO António,1,32
82,3314,PLUIMERS Rick,0,32
83,0517,GRUEL Thibaud,0,28
84,0915,CANAL Carlos,0,28
85,3402,POELS Wout,0,20
86,0427,BELOKI Markel,0,10
87,1618,VERMAERKE Kevin,0,10
88,1801,ULISSI Diego,0,10
