Txirrindulari Sailkapena,,,,
Posizioa,Zbkia,Txirrindularia,Zenbatek,Puntuak
1,1601,POGAČAR Tadej,39,1300
2,2702,PIDCOCK Thomas,39,1040
3,0101,VAN DER POEL Mathieu,39,1000
4,1501,VAN AERT Wout,38,925
5,0102,PHILIPSEN Jasper,37,920
6,1504,LAPORTE Christophe,24,785
7,0309,ANDRESEN Tobias Lund,1,765
8,0702,PEDERSEN Mads,32,588
9,1615,VERMEERSCH Florian,5,548
10,3302,TRENTIN Matteo,2,431
11,0318,SEIXAS Paul,19,400
12,0603,GANNA Filippo,28,400
13,3401,GROENEWEGEN Dylan,0,400
14,1007,STRONG Corbin,0,360
15,3306,MOZZATO Luca,0,330
16,1112,VERMEERSCH Gianni,8,325
17,1202,STUYVEN Jasper,29,325
18,1612,DEL TORO Isaac,31,325
19,1122,VAN DIJKE Tim,0,320
20,1520,HAGENES Per Strand,0,320
21,2711,DE GENDT Aimé,0,305
22,1703,WÆRENSKJOLD Søren,4,292
23,1306,VENDRAME Andrea,0,280
24,1710,ABRAHAMSEN Jonas,1,280
25,0505,GRÉGOIRE Romain,6,275
26,0801,DE LIE Arnaud,34,275
27,1813,KANTER Max,0,260
28,1323,DONALDSON Robert,0,225
29,0310,DEWULF Stan,0,220
30,0809,BERCKMOES Jenno,0,220
31,1004,GIRMAY Biniam,29,220
32,1115,PITHIE Laurence,2,220
33,2207,ANIOŁKOWSKI Stanisław,0,220
34,1619,CHRISTEN Jan,11,205
35,1702,JOHANNESSEN Tobias Halland,0,170
36,3201,TURGIS Anthony,0,150
37,0413,LAMPERTI Luke,0,148
38,0907,AULAR Orluis,0,140
39,1101,ROGLIČ Primož,1,140
40,1407,BITTNER Pavel,2,140
41,0210,ZAMBANINI Edoardo,0,135
42,1507,JORGENSON Matteo,21,125
43,0905,GARCÍA CORTINA Iván,0,120
44,1108,MEEUS Jordi,14,120
45,1118,PELLIZZARI Giulio,0,120
46,0910,UIJTDEBROEKS Cian,0,100
47,1221,REX Laurenz,1,100
48,1708,KRON Andreas,0,100
49,0403,VALGREN Michael,0,98
50,2205,ARANBURU Alex,2,95
51,0411,CEPEDA Jefferson Alexander,0,80
52,0812,BRAET Vito,0,80
53,2213,RENARD Alexis,1,80
54,0323,LABROSSE Jordan,0,70
55,2108,BERWICK Sebastian,0,70
56,0814,DE SCHUYTENEER Steffen,0,68
57,1802,TEUNISSEN Mike,2,65
58,0405,HEALY Ben,37,60
59,0524,HUENS Axel,0,60
60,1807,FORTUNATO Lorenzo,0,60
61,0508,PENHOËT Paul,0,56
62,0612,SHEFFIELD Magnus,2,56
63,0920,BARRENETXEA Jon,0,56
64,1211,MAGNIER Paul,30,56
65,0203,MOHORIČ Matej,8,55
66,2505,FANCELLU Alessandro,0,50
67,0727,TEUTENBERG Tim Torn,0,48
68,3406,KUBIŠ Lukáš,3,48
69,3411,KOPECKÝ Matyáš,0,48
70,0225,ERŽEN Žak,0,40
71,0312,LAPEIRA Paul,3,40
72,1401,DEGENKOLB John,1,40
73,2215,PAGE Hugo,0,40
74,3305,STORER Michael,0,40
75,1213,VANSEVENANT Mauri,0,35
76,1806,BALLERINI Davide,1,35
77,1610,POLITT Nils,1,32
78,1620,MORGADO António,1,32
79,3314,PLUIMERS Rick,0,32
80,0517,GRUEL Thibaud,0,28
81,0915,CANAL Carlos,0,28
82,3402,POELS Wout,0,20
83,0427,BELOKI Markel,0,10
84,1618,VERMAERKE Kevin,0,10
85,1801,ULISSI Diego,0,10
