Posizioa,Zbkia,Porralaria,Puntuak,,Eboluzioa
,,,Gaur,Guztira,
1,13,La Diva,1228,9292,0
2,2,Keops,828,8859,0
3,8,Sor Presa,1228,8744,4
4,19,Posta,1228,8619,4
5,20,Giani Bugno,888,8587,-2
6,26,Presape,1228,8508,4
7,23,zaja,1268,8491,6
8,22,Sabin Sagan,1228,8473,4
9,14,Formolinho,828,8464,-5
10,39,Alper,828,8444,-5
11,29,ConGanna 1,1008,8379,-2
12,24,Jak,1228,8344,2
13,37,Lasa,1228,8344,3
14,17,McNulty,808,8334,-8
15,31,Kokotxas taldea,1228,8289,3
16,33,Michele Bartoli,1368,8262,11
17,25,Leñas Eriz,1228,8219,3
18,11,El Divo,1228,8179,5
19,21,Kas Naranja,1196,8166,3
20,35,Mauricio Frondiest,1008,8124,-5
21,38,Alper II,1108,8114,-2
22,36,Gaizkasares,1108,8039,2
23,1,Piscinas,936,8034,-6
24,28,SinGanna 2,760,8026,-13
25,7,Segur Waves,1108,8014,1
26,18,Healismo,1108,7839,5
27,27,Plazako adokine,1228,7799,8
28,9,Baketxe 1,1008,7798,0
29,12,Juan Alberto,1008,7753,1
30,10,Baketxe 2,888,7672,-1
31,4,Altza Felipa,760,7668,-6
32,16,Filotex,640,7621,-11
33,3,Damba,908,7614,-1
34,32,Penny Lane,1108,7589,3
35,6,Fernando Alonso,968,7526,1
36,15,Andoni Giocatolli,820,7396,-2
37,34,Van Petegen,1108,7169,1
38,30,SinGanna 1,420,7041,-5
39,5,Altza Felipe,740,6143,0
