Posizioa,Zbkia,Porralaria,Gaur,Guztira,Eboluzioa
1,2,Keops,320,6146,0
2,13,La Diva,348,5919,0
3,8,Sor Presa,320,5816,0
4,20,Giani Bugno,348,5756,3
5,14,Formolinho,320,5751,-1
6,39,Alper,320,5731,0
7,17,McNulty,320,5721,1
8,29,ConGanna 1,420,5671,4
9,16,Filotex,320,5621,0
10,19,Posta,320,5606,0
11,36,Gaizkasares,320,5591,0
12,7,Segur Waves,320,5566,1
13,28,SinGanna 2,320,5561,1
14,38,Alper II,320,5531,1
15,23,zaja,352,5523,1
16,1,Piscinas,348,5498,3
17,33,Michele Bartoli,352,5498,3
18,4,Altza Felipa,320,5478,-1
19,18,Healismo,320,5476,-1
20,22,Sabin Sagan,320,5460,1
21,30,SinGanna 1,460,5446,8
22,3,Damba,0,5421,-17
23,21,Kas Naranja,380,5370,5
24,31,Kokotxas taldea,320,5361,-2
25,24,Jak,320,5331,-2
26,35,Mauricio Frondiest,320,5331,-2
27,37,Lasa,320,5331,-2
28,15,Andoni Giocatolli,320,5316,-2
29,26,Presape,320,5315,-2
30,32,Penny Lane,320,5226,0
31,6,Fernando Alonso,492,5213,4
32,25,Leñas Eriz,320,5206,-1
33,10,Baketxe 2,348,5176,0
34,11,El Divo,320,5166,-2
35,27,Plazako adokine,320,5090,-1
36,9,Baketxe 1,320,5005,0
37,12,Juan Alberto,320,4960,0
38,34,Van Petegen,320,4806,0
39,5,Altza Felipe,0,4166,0
