Txirrindulari Sailkapena,,,,
Posizioa,Zbkia,Txirrindularia,Zenbatek,Puntuak
1,1601,POGAČAR Tadej,39,1300
2,2702,PIDCOCK Thomas,39,1040
3,0101,VAN DER POEL Mathieu,39,1000
4,0102,PHILIPSEN Jasper,37,820
5,0309,ANDRESEN Tobias Lund,1,765
6,1504,LAPORTE Christophe,24,665
7,1501,VAN AERT Wout,38,605
8,1615,VERMEERSCH Florian,5,548
9,0702,PEDERSEN Mads,32,520
10,3302,TRENTIN Matteo,2,431
11,0318,SEIXAS Paul,19,400
12,3401,GROENEWEGEN Dylan,0,400
13,1007,STRONG Corbin,0,360
14,3306,MOZZATO Luca,0,330
15,1112,VERMEERSCH Gianni,8,325
16,1202,STUYVEN Jasper,29,325
17,1612,DEL TORO Isaac,31,325
18,1122,VAN DIJKE Tim,0,320
19,1520,HAGENES Per Strand,0,320
20,2711,DE GENDT Aimé,0,305
21,1306,VENDRAME Andrea,0,280
22,1710,ABRAHAMSEN Jonas,1,280
23,0505,GRÉGOIRE Romain,6,275
24,0801,DE LIE Arnaud,34,275
25,1813,KANTER Max,0,260
26,1323,DONALDSON Robert,0,225
27,0310,DEWULF Stan,0,220
28,0809,BERCKMOES Jenno,0,220
29,2207,ANIOŁKOWSKI Stanisław,0,220
30,1619,CHRISTEN Jan,11,205
31,1702,JOHANNESSEN Tobias Halland,0,170
32,3201,TURGIS Anthony,0,150
33,0413,LAMPERTI Luke,0,148
34,1101,ROGLIČ Primož,1,140
35,1407,BITTNER Pavel,2,140
36,0210,ZAMBANINI Edoardo,0,135
37,1507,JORGENSON Matteo,21,125
38,0905,GARCÍA CORTINA Iván,0,120
39,1108,MEEUS Jordi,14,120
40,1118,PELLIZZARI Giulio,0,120
41,0910,UIJTDEBROEKS Cian,0,100
42,1221,REX Laurenz,1,100
43,1708,KRON Andreas,0,100
44,0403,VALGREN Michael,0,98
45,2205,ARANBURU Alex,2,95
46,0411,CEPEDA Jefferson Alexander,0,80
47,2213,RENARD Alexis,1,80
48,0323,LABROSSE Jordan,0,70
49,2108,BERWICK Sebastian,0,70
50,0814,DE SCHUYTENEER Steffen,0,68
51,1802,TEUNISSEN Mike,2,65
52,0405,HEALY Ben,37,60
53,0524,HUENS Axel,0,60
54,1807,FORTUNATO Lorenzo,0,60
55,0508,PENHOËT Paul,0,56
56,0612,SHEFFIELD Magnus,2,56
57,1211,MAGNIER Paul,30,56
58,0203,MOHORIČ Matej,8,55
59,2505,FANCELLU Alessandro,0,50
60,0727,TEUTENBERG Tim Torn,0,48
61,3411,KOPECKÝ Matyáš,0,48
62,0225,ERŽEN Žak,0,40
63,0312,LAPEIRA Paul,3,40
64,1115,PITHIE Laurence,2,40
65,1401,DEGENKOLB John,1,40
66,3305,STORER Michael,0,40
67,1213,VANSEVENANT Mauri,0,35
68,1806,BALLERINI Davide,1,35
69,1610,POLITT Nils,1,32
70,1620,MORGADO António,1,32
71,1703,WÆRENSKJOLD Søren,4,32
72,0517,GRUEL Thibaud,0,28
73,3402,POELS Wout,0,20
74,0427,BELOKI Markel,0,10
75,1618,VERMAERKE Kevin,0,10
76,1801,ULISSI Diego,0,10
