Posizioa,Zbkia,Porralaria,Gaur,Guztira,Eboluzioa
1,2,Keops,2840,5826,1
2,13,La Diva,2840,5571,5
3,8,Sor Presa,2600,5496,1
4,14,Formolinho,2840,5431,7
5,3,Damba,2935,5421,10
6,39,Alper,2895,5411,8
7,20,Giani Bugno,3000,5408,12
8,17,McNulty,2400,5401,-7
9,16,Filotex,2400,5301,-6
10,19,Posta,2840,5286,6
11,36,Gaizkasares,2840,5271,7
12,29,ConGanna 1,2600,5251,-4
13,7,Segur Waves,2895,5246,8
14,28,SinGanna 2,2400,5241,-9
15,38,Alper II,2840,5211,5
16,23,zaja,2600,5171,-4
17,4,Altza Felipa,2560,5158,-8
18,18,Healismo,2600,5156,-5
19,1,Piscinas,2840,5150,3
20,33,Michele Bartoli,2840,5146,4
21,22,Sabin Sagan,2905,5140,6
22,31,Kokotxas taldea,2600,5041,-5
23,24,Jak,2840,5011,5
24,35,Mauricio Frondiest,2840,5011,5
25,37,Lasa,2840,5011,5
26,15,Andoni Giocatolli,2400,4996,-16
27,26,Presape,2740,4995,-1
28,21,Kas Naranja,2840,4990,3
29,30,SinGanna 1,2160,4986,-23
30,32,Penny Lane,2600,4906,-7
31,25,Leñas Eriz,2840,4886,2
32,11,El Divo,2840,4846,2
33,10,Baketxe 2,3055,4828,5
34,27,Plazako adokine,2655,4770,-2
35,6,Fernando Alonso,2895,4721,1
36,9,Baketxe 1,2895,4685,1
37,12,Juan Alberto,2895,4640,2
38,34,Van Petegen,2600,4486,-3
39,5,Altza Felipe,1880,4166,-14
