Txirrindulari Sailkapena,,,,
Posizioa,Zbkia,Txirrindularia,Zenbatek,Puntuak
1,1601,POGAČAR Tadej,39,1300
2,2702,PIDCOCK Thomas,39,1040
3,1501,VAN AERT Wout,38,605
4,0101,VAN DER POEL Mathieu,39,600
5,0702,PEDERSEN Mads,32,440
6,0318,SEIXAS Paul,19,400
7,1007,STRONG Corbin,0,360
8,1612,DEL TORO Isaac,31,325
9,1122,VAN DIJKE Tim,0,320
10,1306,VENDRAME Andrea,0,280
11,0505,GRÉGOIRE Romain,6,275
12,1615,VERMEERSCH Florian,5,260
13,1202,STUYVEN Jasper,29,240
14,0309,ANDRESEN Tobias Lund,1,225
15,1112,VERMEERSCH Gianni,8,225
16,1504,LAPORTE Christophe,24,220
17,1619,CHRISTEN Jan,11,205
18,3302,TRENTIN Matteo,2,188
19,2711,DE GENDT Aimé,0,180
20,1702,JOHANNESSEN Tobias Halland,0,170
21,1101,ROGLIČ Primož,1,140
22,0210,ZAMBANINI Edoardo,0,135
23,1507,JORGENSON Matteo,21,125
24,1108,MEEUS Jordi,14,120
25,1118,PELLIZZARI Giulio,0,120
26,0809,BERCKMOES Jenno,0,110
27,0910,UIJTDEBROEKS Cian,0,100
28,1708,KRON Andreas,0,100
29,3201,TURGIS Anthony,0,100
30,2205,ARANBURU Alex,2,95
31,0411,CEPEDA Jefferson Alexander,0,80
32,2213,RENARD Alexis,1,80
33,0323,LABROSSE Jordan,0,70
34,2108,BERWICK Sebastian,0,70
35,0413,LAMPERTI Luke,0,68
36,1802,TEUNISSEN Mike,2,65
37,0405,HEALY Ben,37,60
38,1807,FORTUNATO Lorenzo,0,60
39,1211,MAGNIER Paul,30,56
40,0203,MOHORIČ Matej,8,55
41,0403,VALGREN Michael,0,50
42,2505,FANCELLU Alessandro,0,50
43,3411,KOPECKÝ Matyáš,0,48
44,0312,LAPEIRA Paul,3,40
45,1115,PITHIE Laurence,2,40
46,3305,STORER Michael,0,40
47,1213,VANSEVENANT Mauri,0,35
48,1610,POLITT Nils,1,32
49,3402,POELS Wout,0,20
50,0427,BELOKI Markel,0,10
51,1618,VERMAERKE Kevin,0,10
52,1801,ULISSI Diego,0,10
