,Izena,Data,UCI kategoria,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,Omloop Nieuwsblad,24ko ots 24,6,Jan TRATNIK,Nils POLITT,Wout VAN AERT,Oliver NAESEN,Christophe LAPORTE,Laurenz REX,Jasper STUYVEN,Thomas PIDCOCK,Matteo TRENTIN,Arnaud DE LIE,Pierre GAUTHERAT,Tim WELLENS,Mike TEUNISSEN,Alexander KRISTOFF,Ivan GARCIA CORTINA
2,Strade Bianche,24ko mar 2,6,Tadej POGAČAR,Toms SKUJINS,Maxim VAN GILS,Thomas PIDCOCK,Matej MOHORIC,Benoit COSNEFROY,Davide FORMOLO,Lenny MARTINEZ,Filippo ZANA,Christophe LAPORTE,Lennert VAN EETVELT,Ben HEALY,Tim WELLENS,Francesco BUSATTO,Valentin MADOUAS
3,Milano-Sanremo,24ko mar 16,3,Jasper PHILIPSEN,Michael MATTHEWS,Tadej POGAČAR,Mads PEDERSEN,Alberto BETTIOL,Matej MOHORIC,Maxim VAN GILS,Jasper STUYVEN,Julian ALAPHILIPPE,Mathieu VAN DER POEL,Thomas PIDCOCK,Matteo SOBRERO,Phillip Casper PEDERSEN,Olav KOOIJ,Laurence PITHIE
4,Classic Brugge-De Panne,24ko mar 20,6,Jasper PHILIPSEN,Tim MERLIER,Danny VAN POPPEL,Jason TESSON,Simone CONSONNI,Stian EDVARDSEN-FREDHEIM,Juan Sebastian MOLANO BENAVIDES,Phil BAUHAUS,Emilien JEANNIERE,Luca MOZZATO,Max KANTER,Bram WELTEN,Milan MENTEN,Fernando GAVIRIA RENDON,Laurence PITHIE
5,E3 Saxo Classic,24ko mar 22,5,Mathieu VAN DER POEL,Jasper STUYVEN,Wout VAN AERT,Tim WELLENS,Matteo JORGENSON,Jhonatan Manuel NARVAEZ PRADO,Nils POLITT,Toms SKUJINS,Vincenzo ALBANESE,Alex KIRSCH,Mads PEDERSEN,Jonas ABRAHAMSEN,Brent VAN MOER,Oier LAZKANO LOPEZ,Matej MOHORIC
6,Gent-Wevelgem in Flanders Fields,24ko mar 24,4,Mads PEDERSEN,Mathieu VAN DER POEL,Jordi MEEUS,Jasper PHILIPSEN,Jonathan MILAN,Olav KOOIJ,Biniam GIRMAY,Tim MERLIER,Dylan GROENEWEGEN,Matteo TRENTIN,Oliver NAESEN,Stefan BISSEGGER,Matej MOHORIC,Stefan KÜNG,Luca MOZZATO
7,Dwars door Vlaanderen - A travers la Flandre,24ko mar 27,4,Matteo JORGENSON,Jonas ABRAHAMSEN,Stefan KÜNG,Tiesj BENOOT,Dries DE BONDT,Michael Joshua TARLING,Jonathan MILAN,Michael VALGREN,Norsgaard Mathias JØRGENSEN,Thomas GACHIGNARD,Pierre GAUTHERAT,Nils POLITT,Valentin MADOUAS,Danny VAN POPPEL,Jasper PHILIPSEN
8,Ronde van Vlaanderen - Tour des Flandres,24ko mar 31,3,Mathieu VAN DER POEL,Luca MOZZATO,Nils POLITT,Mikkel BJERG,António MORGADO,Magnus SHEFFIELD,Oliver NAESEN,Dylan TEUNS,Alberto BETTIOL,Toms SKUJINS,Michael MATTHEWS,Tim WELLENS,Riley SHEEHAN,Kamil MALECKI,Tiesj BENOOT
9,Paris-Roubaix,24ko api 7,3,Mathieu VAN DER POEL,Jasper PHILIPSEN,Mads PEDERSEN,Nils POLITT,Stefan KÜNG,Gianni VERMEERSCH,Laurence PITHIE,Jordi MEEUS,Søren WÆRENSKJOLD,Madis MIHKELS,John DEGENKOLB,Fred WRIGHT,Dries VAN GESTEL,Yevgeniy FEDOROV,Tim WELLENS
10,Amstel Gold Race,24ko api 14,4,Thomas PIDCOCK,Marc HIRSCHI,Tiesj BENOOT,Mauri VANSEVENANT,Paul LAPEIRA,Valentin MADOUAS,Bauke MOLLEMA,Quentin PACHER,Pello BILBAO LOPEZ DE ARMENTIA,Michael MATTHEWS,Marijn VAN DEN BERG,Romain GREGOIRE,Vito BRAET,Roger ADRIA OLIVERAS,Dylan TEUNS
11,La Flèche Wallonne,24ko api 17,5,Stephen WILLIAMS,Kévin VAUQUELIN,Maxim VAN GILS,Benoit COSNEFROY,Santiago BUITRAGO SANCHEZ,Tobias Halland JOHANNESSEN,Romain GREGOIRE,Dorian GODON,Tiesj BENOOT,Guillaume MARTIN GUYONNET,Clément CHAMPOUSSIN,Toms SKUJINS,Richard CARAPAZ,Jordan JEGAT,Valentin MADOUAS
